"COUNTRY","COICOP_1999","FREQUENCY","TIME_PERIOD","OBS_VALUE"
"Myanmar","Clothing and footwear","Monthly","2016-M09","115.940784583334"
"Myanmar","Clothing and footwear","Monthly","2016-M10","116.304782661246"
"Myanmar","Clothing and footwear","Monthly","2016-M11","116.380866875461"
"Myanmar","Clothing and footwear","Monthly","2016-M12","116.667756685383"
"Myanmar","Clothing and footwear","Monthly","2017-M01","116.659642491865"
"Myanmar","Clothing and footwear","Monthly","2017-M02","116.679926290734"
"Myanmar","Clothing and footwear","Monthly","2017-M03","116.791928295386"
"Myanmar","Clothing and footwear","Monthly","2017-M04","116.846098866587"
"Myanmar","Clothing and footwear","Monthly","2017-M05","116.896929599831"
"Myanmar","Clothing and footwear","Monthly","2017-M06","116.900379623461"
"Myanmar","Clothing and footwear","Monthly","2017-M07","117.033451935348"
"Myanmar","Clothing and footwear","Monthly","2017-M08","117.398005375876"
"Myanmar","Clothing and footwear","Monthly","2017-M09","117.539196319295"
"Myanmar","Clothing and footwear","Monthly","2017-M10","117.740697310832"
"Myanmar","Clothing and footwear","Monthly","2017-M11","117.854338151079"
"Myanmar","Clothing and footwear","Monthly","2017-M12","118.222564624465"
"Myanmar","Clothing and footwear","Monthly","2018-M01","118.405158935055"
"Myanmar","Clothing and footwear","Monthly","2018-M02","118.494138157208"
"Myanmar","Clothing and footwear","Monthly","2018-M03","118.832180958135"
"Myanmar","Clothing and footwear","Monthly","2018-M04","119.279779594692"
"Myanmar","Clothing and footwear","Monthly","2018-M05","119.465793107663"
"Myanmar","Clothing and footwear","Monthly","2018-M06","120.136502107819"
"Myanmar","Clothing and footwear","Monthly","2018-M07","120.235397815597"
"Myanmar","Clothing and footwear","Monthly","2018-M08","121.041358330519"
"Myanmar","Clothing and footwear","Monthly","2018-M09","121.705637138107"
"Myanmar","Clothing and footwear","Monthly","2018-M10","122.472446262702"
"Myanmar","Clothing and footwear","Monthly","2018-M11","122.856410741353"
"Myanmar","Clothing and footwear","Monthly","2018-M12","123.516258509268"
"Myanmar","Clothing and footwear","Monthly","2019-M01","124.151753457173"
"Myanmar","Clothing and footwear","Monthly","2019-M02","124.550549215482"
"Myanmar","Clothing and footwear","Monthly","2019-M03","124.92817820835"
"Myanmar","Clothing and footwear","Monthly","2019-M04","125.235612481128"
"Myanmar","Clothing and footwear","Monthly","2019-M05","125.818997070173"
"Myanmar","Clothing and footwear","Monthly","2019-M06","126.365771237116"
"Myanmar","Clothing and footwear","Monthly","2019-M07","126.666942554704"
"Myanmar","Clothing and footwear","Monthly","2019-M08","126.932083562351"
"Myanmar","Clothing and footwear","Monthly","2019-M09","127.701926796745"
"Myanmar","Clothing and footwear","Monthly","2019-M10","128.311342201081"
"Myanmar","Clothing and footwear","Monthly","2019-M11","128.692155184227"
"Myanmar","Clothing and footwear","Monthly","2019-M12","129.134904068997"
"Myanmar","Clothing and footwear","Monthly","2020-M01","129.328159051027"
"Myanmar","Clothing and footwear","Monthly","2020-M02","129.44"
"Myanmar","Clothing and footwear","Monthly","2020-M03","129.69"
"Myanmar","Clothing and footwear","Monthly","2020-M04","129.693015456841"
"Myanmar","Clothing and footwear","Monthly","2020-M05","129.693015456841"
"Myanmar","Clothing and footwear","Monthly","2020-M06","130.147125618417"
"Myanmar","Clothing and footwear","Monthly","2020-M07","130.302844826567"
"Myanmar","Clothing and footwear","Monthly","2020-M08","130.496257512098"
"Myanmar","Clothing and footwear","Monthly","2020-M09","130.496257512098"
"Myanmar","Clothing and footwear","Monthly","2020-M10","130.555717637216"
"Myanmar","Clothing and footwear","Monthly","2020-M11","130.498845866976"
"Myanmar","Health","Monthly","2011-M01",""
"Myanmar","Health","Monthly","2011-M02",""
"Myanmar","Health","Monthly","2011-M03",""
"Myanmar","Health","Monthly","2011-M04",""
"Myanmar","Health","Monthly","2011-M05",""
"Myanmar","Health","Monthly","2011-M06",""
"Myanmar","Health","Monthly","2011-M07",""
"Myanmar","Health","Monthly","2011-M08",""
"Myanmar","Health","Monthly","2011-M09",""
"Myanmar","Health","Monthly","2011-M10",""
"Myanmar","Health","Monthly","2011-M11",""
"Myanmar","Health","Monthly","2011-M12",""
